Index,Postcode,Column,Value
14,1026.0,assets_81_to_100_percent 2017.0,67.3
14,1026.0,assets_81_to_100_percent 2018.0,66.7
14,1026.0,assets_81_to_100_percent 2019.0,69.1
14,1026.0,assets_average 2017.0,78.2
14,1026.0,assets_average 2019.0,77.7
16,1028.0,assets_1_to_40_percent 2017.0,9.1
16,1028.0,assets_1_to_40_percent 2018.0,8.0
16,1028.0,assets_1_to_40_percent 2019.0,7.3
16,1028.0,assets_81_to_100_percent 2017.0,75.5
16,1028.0,assets_81_to_100_percent 2018.0,80.3
16,1028.0,assets_81_to_100_percent 2019.0,79.6
16,1028.0,assets_average 2017.0,82.4
16,1028.0,assets_average 2018.0,84.8
16,1028.0,assets_average 2019.0,85.4
22,1036.0,assets_41_to_80_percent 2017.0,51.8
67,1105.0,assets_41_to_80_percent 2017.0,10.0
67,1105.0,assets_41_to_80_percent 2018.0,6.5
67,1105.0,assets_41_to_80_percent 2019.0,4.6
70,1108.0,assets_41_to_80_percent 2019.0,47.5
