Unnamed: 0,Postcode,buurt,traffic_area,built_up_area,semi_built_up_area,recreational_area,agrarian_area,forest_nature_are,water_body_area,total_area,Postcode_group
14,1012AZ,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
15,1012BA,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
15,1012BA,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
15,1012BA,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
16,1012BB,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
16,1012BB,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
16,1012BB,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
23,1012DZ,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
27,1012GE,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
28,1012GN,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
28,1012GN,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
28,1012GN,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
28,1012GN,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
30,1012GR,Kop Zeedijk,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607,8.044,1012.0
78,1012BC,Burgwallen Oost,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152,7.2486,1012.0
